;Energy_5
2022-01-10 10:30:00+02:00;-1.4704516359427384
2022-01-10 10:45:00+02:00;-1.4703995035380129
2022-01-10 11:00:00+02:00;-1.4703459621493757
2022-01-10 11:15:00+02:00;-1.4702839668572696
2022-01-10 11:30:00+02:00;-1.4702135176616946
2022-01-10 11:45:00+02:00;-1.4701247516752698
2022-01-10 12:00:00+02:00;-1.4700204868658187
2022-01-10 12:15:00+02:00;-1.469923266975925
2022-01-10 12:30:00+02:00;-1.4698359099734117
2022-01-10 12:45:00+02:00;-1.4697640517939252
2022-01-10 13:00:00+02:00;-1.469685148694881
2022-01-10 13:15:00+02:00;-1.469597791692368
2022-01-10 13:30:00+02:00;-1.4694738011081556
2022-01-10 13:45:00+02:00;-1.4693329027170055
2022-01-10 14:00:00+02:00;-1.4692103211167047
2022-01-10 14:15:00+02:00;-1.4690863305324926
2022-01-10 14:30:00+02:00;-1.46898065673913
2022-01-10 14:45:00+02:00;-1.4688496212353601
2022-01-10 15:00:00+02:00;-1.4687256306511478
2022-01-10 15:15:00+02:00;-1.4686284107612542
2022-01-10 15:30:00+02:00;-1.4685495076622102
2022-01-10 15:45:00+02:00;-1.468495966273573
2022-01-10 16:00:00+02:00;-1.468470604563166
2022-01-10 16:15:00+02:00;-1.4684522877723163
2022-01-10 16:30:00+02:00;-1.4684438338688472
2022-01-10 16:45:00+02:00;-1.4684438338688472
2022-01-10 17:00:00+02:00;-1.4684438338688472
2022-01-10 17:15:00+02:00;-1.4684438338688472
2022-01-10 17:30:00+02:00;-1.4684438338688472
2022-01-10 17:45:00+02:00;-1.4684438338688472
2022-01-10 19:15:00+02:00;-1.4684438338688472
2022-01-10 20:30:00+02:00;-1.4684438338688472
2022-01-10 21:45:00+02:00;-1.4684438338688472
2022-01-11 06:30:00+02:00;-1.4684438338688472
2022-01-11 07:45:00+02:00;-1.4684438338688472
2022-01-11 08:00:00+02:00;-1.4684438338688472
2022-01-11 08:15:00+02:00;-1.4684438338688472
2022-01-11 08:30:00+02:00;-1.4684438338688472
2022-01-11 08:45:00+02:00;-1.4684339709814669
2022-01-11 09:00:00+02:00;-1.4684269260619094
2022-01-11 09:15:00+02:00;-1.4684086092710598
2022-01-11 09:30:00+02:00;-1.4683818385767413
2022-01-11 09:45:00+02:00;-1.4683466139789536
2022-01-11 10:00:00+02:00;-1.4683113893811661
2022-01-11 10:15:00+02:00;-1.468257847992529
2022-01-11 10:30:00+02:00;-1.468170490990016
2022-01-11 10:45:00+02:00;-1.4680479093897152
2022-01-11 11:00:00+02:00;-1.467932372708972
2022-01-11 11:15:00+02:00;-1.4678013372052021
2022-01-11 11:30:00+02:00;-1.4676153513288839
2022-01-11 11:45:00+02:00;-1.4674406373238575
2022-01-11 12:00:00+02:00;-1.4672194268497516
2022-01-11 12:15:00+02:00;-1.4670249870699643
2022-01-11 12:30:00+02:00;-1.4667530531750443
2022-01-11 12:45:00+02:00;-1.4664712563927438
2022-01-11 13:00:00+02:00;-1.4662063674173813
2022-01-11 13:15:00+02:00;-1.4659696581202488
2022-01-11 13:30:00+02:00;-1.4657752183404615
2022-01-11 13:45:00+02:00;-1.4655638707537362
2022-01-11 14:00:00+02:00;-1.4653440692635418
2022-01-11 14:15:00+02:00;-1.4651242677733474
2022-01-11 14:30:00+02:00;-1.4649833693821972
2022-01-11 14:45:00+02:00;-1.4647805637604352
2022-01-11 15:00:00+02:00;-1.4646664360636035
2022-01-11 15:15:00+02:00;-1.4645692161737098
2022-01-11 15:30:00+02:00;-1.4645339915759223
2022-01-11 15:45:00+02:00;-1.4644889040907543
2022-01-11 16:00:00+02:00;-1.4644536794929666
2022-01-11 16:15:00+02:00;-1.4644283177825597
2022-01-11 16:30:00+02:00;-1.4644198638790906
2022-01-11 16:45:00+02:00;-1.46441000099171
2022-01-11 17:00:00+02:00;-1.46441000099171
2022-01-11 17:15:00+02:00;-1.46441000099171
2022-01-11 17:30:00+02:00;-1.46441000099171
2022-01-11 17:45:00+02:00;-1.46441000099171
2022-01-11 18:00:00+02:00;-1.46441000099171
2022-01-11 19:15:00+02:00;-1.46441000099171
2022-01-11 20:30:00+02:00;-1.46441000099171
2022-01-11 21:45:00+02:00;-1.46441000099171
2022-01-12 05:15:00+02:00;-1.46441000099171
2022-01-12 08:00:00+02:00;-1.46441000099171
2022-01-12 08:15:00+02:00;-1.46441000099171
2022-01-12 08:30:00+02:00;-1.46441000099171
2022-01-12 08:45:00+02:00;-1.46441000099171
2022-01-12 09:00:00+02:00;-1.46441000099171
2022-01-12 09:15:00+02:00;-1.464401547088241
2022-01-12 09:30:00+02:00;-1.464401547088241
2022-01-12 09:45:00+02:00;-1.4643846392813031
